<<<<<<< HEAD
1369;ST JUST;1250
2008;AIZY JOUY;2370
2006;AISONVILLE ET BERNOVILLE;2110
1449;VILLETTE SUR AIN;1320
2013;AMIFONTAINE;2190
2005;AGUILCOURT;2190
1444;VILLEBOIS;1150
2008;AIZY JOUY;2370
1430;VARAMBON;1160
1424;TRAMOYES;1390
1451;VIRIAT;1440
2033;AUBIGNY EN LAONNOIS;2820
2050;BARZY EN THIERACHE;2170
2034;AUDIGNICOURT;2300
2042;AZY SUR MARNE;2400
2047;BARENTON CEL;2000
2035;AUDIGNY;2120
2060;BEAUVOIS EN VERMANDOIS;2590
2101;BOSMONT SUR SERRE;2250
2080;BESNY ET LOIZY;2870
2093;BLERANCOURT;2300
2058;BEAURIEUX;2160
2079;BESMONT;2500
2094;BLESMES;2400
2070;BERNOT;2120
2064;BELLEU;2200
2103;BOUE;2450
2205;COLLIGIS CRANDELAIN;2860
2178;CHERMIZY AILLES;2860
2197;CLAIRFONTAINE;2260
2190;CHIVRES VAL;2880
2207;COMMENCHON;2300
2182;CHEVENNES;2250
2206;COLONFAY;2120
2187;CHIERRY;2400
2220;COULONGES COHAN;2130
2253;CUISY EN ALMONT;2200
2233;CRAMAILLE;2130
2248;CUIRIEUX;2350
2266;DOLIGNON;2360
2234;CRAONNE;2160
2263;DHUIZEL;2220
2268;DOMPTIN;2310
2265;DOHIS;2360
2261;DERCY;2270
2313;FLAVIGNY LE GRAND ET BEAURAIN;2120
2321;FONTAINE LES VERVINS;2140
2292;ETAMPES SUR MARNE;2400
2302;FAVEROLLES;2600
2297;ETREPILLY;2400
2304;LA FERE;2800
2280;EPIEDS;2400
2278;EPARCY;2500
2303;FAYET;2100
2349;GOUDELANCOURT LES BERRIEUX;2820
2332;FRESNES EN TARDENOIS;2130
2353;GRANDLUP ET FAY;2350
2331;FRANQUEVILLE;2140
2358;GROUGIS;2110
2333;FRESNES;2380
2328;FOSSOY;2650
5128;ST ANDRE D EMBRUN;5200
5122;LA ROCHE DE RAME;5310
5066;LA HAUTE BEAUME;5140
5121;ROCHEBRUNE;5190
5063;LA GRAVE;5320
5096;ORCIERES;5170
5127;ROUSSET;5190
5116;REOTIER;5600
5061;GAP;5000
5183;VILLAR ST PANCRACE;5100
5180;LES VIGNEAUX;5120
5172;TRESCLEOUX;5700
5156;ST SAUVEUR;5200
5165;SAVOURNON;5700
5184;VITROLLES;5110
5160;SALERANS;5300
5176;VALSERRES;5130
5157;ST VERAN;5350
7134;LAURAC EN VIVARAIS;7110
7168;ORGNAC L AVEN;7150
7129;LAMASTRE;7270
7142;LESPERON;7660
7165;NONIERES;7160
7139;LAVIOLLE;7530
7159;MIRABEL;7170
7182;PRADES;7380
7187;PRUNET;7110
8333;OLIZY PRIMAT;8250
8347;PUILLY ET CHARBEAUX;8370
8358;REMILLY LES POTHEES;8150
8357;REMILLY AILLICOURT;8450
8330;NOVY CHEVRIERES;8300
8343;POURU ST REMY;8140
8339;PERTHES;8300
8361;RENWEZ;8150
77452;SIGY;77520
77455;SOIGNOLLES EN BRIE;77111
77456;SOISY BOUY;77650
77458;SOUPPES SUR LOING;77460
77479;VAIRES SUR MARNE;77360
77480;VALENCE EN BRIE;77830
77491;VENEUX LES SABLONS;77250
77493;VERNEUIL L ETANG;77390
77496;VIEUX CHAMPAGNE;77370
77500;VILLEBEON;77710
77509;VILLENEUVE LES BORDES;77154
77521;VILLIERS SUR MORIN;77580
77529;VOULANGIS;77580
77532;VULAINES LES PROVINS;77160
78013;ANDELU;78770
78015;ANDRESY;78570
78029;AUBERGENVILLE;78410
78030;AUFFARGIS;78610
78034;AUTEUIL;78770
78036;AUTOUILLET;78770
78048;BAZAINVILLE;78550
78053;BEHOUST;78910
78068;BLARU;78270
78073;BOIS D ARCY;78390
78087;BONNELLES;78830
78090;BOUAFLE;78410
78123;CARRIERES SOUS POISSY;78955
78143;CHATEAUFORT;78117
78147;CHAUFOUR LES BONNIERES;78270
78165;LES CLAYES SOUS BOIS;78340
78168;COIGNIERES;78310
78193;DAMPIERRE EN YVELINES;78720
78194;DANNEMARIE;78550
78231;FAVRIEUX;78200
78234;FLACOURT;78200
78262;GALLUIS;78490
78265;GARANCIERES;78890
78285;GRESSEY;78550
78291;GUERVILLE;78930
78297;GUYANCOURT;78280
78300;HARGEVILLE;78790
78324;JOUY MAUVOISIN;78200
78327;JUZIERS;78820
78329;LAINVILLE EN VEXIN;78440
78362;MANTES LA VILLE;78711
78366;MAREIL LE GUYON;78490
78396;LE MESNIL LE ROI;78600
78396;LE MESNIL LE ROI;78600
78398;LES MESNULS;78490
78406;MILON LA CHAPELLE;78470
78407;MITTAINVILLE;78125
78415;MONTAINVILLE;78124
78431;MORAINVILLIERS;78630
78443;NEAUPHLE LE VIEUX;78640
78444;NEAUPHLETTE;78980
78470;ORPHIN;78125
78486;LE PERRAY EN YVELINES;78610
78498;POISSY;78300
78503;PORT VILLEZ;78270
78506;PRUNAY EN YVELINES;78660
78536;SAILLY;78440
78605;TACOIGNIERES;78910
78606;LE TARTRE GAUDRAN;78113
78620;TOUSSUS LE NOBLE;78117
78624;TRIEL SUR SEINE;78510
78624;TRIEL SUR SEINE;78510
78638;VAUX SUR SEINE;78740
78643;VERNOUILLET;78540
78677;VILLETTE;78930
78683;VILLIERS ST FREDERIC;78640
78686;VIROFLAY;78220
78688;VOISINS LE BRETONNEUX;78960
79002;ADILLY;79200
79004;AIGONNAY;79370
79005;AIRVAULT;79600
79013;ARGENTONAY;79150
79024;AZAY LE BRULE;79400
79029;BEAULIEU SOUS PARTHENAY;79420
79030;BEAUSSAIS VITRE;79370
79031;BEAUVOIR SUR NIORT;79360
79042;BOUGON;79800
79046;LE BOURDET;79210
79049;BRESSUIRE;79300
79050;BRETIGNOLLES;79140
79051;LE BREUIL BERNARD;79320
79054;BRIE;79100
79055;BRIEUIL SUR CHIZE;79170
79061;CELLES SUR BELLE;79370
79066;CHAMPDENIERS ST DENIS;79220
79066;CHAMPDENIERS ST DENIS;79220
79070;LA CHAPELLE BATON;79220
79071;LA CHAPELLE BERTRAND;79200
79075;LA CHAPELLE ST ETIENNE;79240
79077;LA CHAPELLE THIREUIL;79160
79078;PRISSE LA CHARRIERE;79360
79079;MAULEON;79700
79080;CHATILLON SUR THOUET;79200
79084;CHENAY;79120
79085;CHERIGNE;79170
79086;CHERVEUX;79410
2765;VAUCELLES ET BEFFECOURT;2000
2744;TORCY EN VALOIS;2810
2769;VAUX ANDIGNY;2110
2757;VADENCOURT;2120
2743;LE THUEL;2340
2749;TROESNES;2460
2764;VASSOGNE;2160
6163;TENDE;6430
7060;CHATEAUNEUF DE VERNOUX;7240
7005;ALBA LA ROMAINE;7400
7040;BOUCIEU LE ROI;7270
7017;LES ASSIONS;7140
7049;LE CHAMBON;7160
7016;ASPERJOC;7600
7008;ALISSAS;7210
7002;AILHON;7200
7037;BOREE;7310
7121;LACHAPELLE GRAILLOUSE;7470
7119;LE LAC D ISSARLES;7470
7104;ISSAMOULENC;7190
7128;LALOUVESC;7520
7105;ISSANLAS;7660
7116;LABEGUDE;7200
7108;JAUNAC;7160
7107;JAUJAC;7380
7131;LANAS;7200
7135;LAVAL D AURELLE;7590
7141;LENTILLERES;7200
7170;PAILHARES;7410
7162;MONTREAL;7110
7155;MERCUER;7200
7150;MARIAC;7160
7156;MEYRAS;7380
7140;LEMPS;7610
8302;MONTHERME;8800
8308;MONT ST MARTIN;8400
8286;MENIL ANNELLES;8310
8306;MONT LAURENT;8130
8328;NOUZONVILLE;8700
8303;MONTHOIS;8400
8334;OMICOURT;8450
8295;MONDIGNY;8430
8325;NOIRVAL;8400
8311;MOUZON;8210
8342;POURU AUX BOIS;8140
8350;QUATRE CHAMPS;8400
8369;LA ROMAGNE;8220
8355;REGNIOWEZ;8230
8383;ST JUVIN;8250
8373;RUMIGNY;8290
8351;QUILLY;8400
8376;SAILLY;8110
8375;SACHY;8110
8349;PURE;8110
8400;SAPOGNE ET FEUCHERES;8160
8399;SAPOGNE SUR MARCHE;8370
8393;ST PIERRE A ARNES;8310
8390;STE MARIE;8400
8405;SAUVILLE;8390
8389;ST MARCEL;8460
8427;SORBON;8300
8426;SON;8300
8448;THILAY;8800
